Broadway/Hogan	Broadway/Hogan residence hall community
180 Degrees Consulting - Columbia University Branch (180DC)	A humanitarian group recognized by the SGB.
2016 Columbia College Class Council (CCSC16)	The purpose of the 2016 Columbia College Class Council is to best represent the Class of 2016. CCSC16 plans events spearheads policies that improve the lives of students and serves as a liaison between the class and administrato
2017 Columbia College Student Council (CCSC17)	CCSC 2017 serves to advance the interests of the Columbia College Class of 2017.
2017 Columbia Engineering Class Council (ESC 2017)	The purpose of the 2017 Columbia Engineering Class Council is to best represent the Class of 2017 in SEAS. ESC 2017 plans events spearheads policies that improve the lives of students and serves as a liaison between the class and administrators.
4Local	No information on website.
4x4 Magazine (4x4)	4 x 4 is an annual student-run literary collective and publication dedicated to publishing the work of Columbia undergraduates. we consistently publish the best student writing across all genres.
627 Woodbridge 47 Claremont	527 Woodbridge 47 Claremont
Active Minds	The Columbia chapter of Active Minds a national nonprofit dedicated to helping college students raise awareness of mental health issues with their peers.
Activities Board at Columbia (ABC)	The Activities Board at Columbia is the largest undergraduate governing board at Columbia representing a diverse collection of 150 student groups.
Actuarial Society of Columbia University (ASCU)	ASCU strives to create and maintain a community for students interested in actuarial science.  Our activities are centered on providing support for SOA/CAS exam preparation and job recruitment.
Adventist Christian Fellowship (ACF)	ACF is a group of Seventh-Day Adventist students and faculty who meet for a weekly Bible study to eat and fellowship together.  We have one large weekend-long event a year the ACF Summit to which Adventists from all over New York and beyond are invited
African Students Association (ASA)	The ASA is an organization that provides a welcoming and intellectually enriching environment for students to discuss political social and cultural topics related to the continent while promoting African culture on Columbia's campus.
After-Hours Tutoring	After-Hours Tutoring tutors elementary and middle school children in math science English history and reading at a local homeless shelter on 104th and Broadway.
Ahimsa	Columbia's one and only student organization devoted to promoting the Jain and Gandhian edict of Ahimsa. We hope to invite well-renowned speakers on the subject of Ahimsa as well as share our South Asian culture through Diwali and Mahavir Jayanti dinner.
Aikido	Aikido is a Japanese martial art originating in the early 20th century.  One of it's primary objectives as a martial art is to defend oneself while causing as little damage to the attacker as possible.
Alexander Hamilton Society (AHS/HamSoc)	The Alexander Hamilton Society-Columbia University is a chapter of the non-partisan not-for-profit parent organization headquartered in Washington D.C.
Alfred Musical Improv Troupe (Alfred Musical Improv)	The 'Alfred Musical Improv Troupeä‹¢ focuses on both long and short form improv comedy. The name Alfred is taken from the way the group themes each performance according to a different Alfred from history. For example previous performances have been opene
AllSex	AllSex is a peer-facilitated semester-long discussion group dedicated to the empowerment and fulfillment of the sexual self.
Alpha Chi Omega - Theta Psi Chapter (AXO)	Alpha Chi Omega is a national panhellenic fraternity of Real. Strong. Women. We offer life-long sisterhood bonds countless opportunities to give back to the community incomparable leadership and networking opportunities and so much more!
Alpha Delta Phi (ADP)	Co-Ed Literary Society
Alpha Epsilon Pi	The Jewish fraternity at Columbia University
Alpha Omega	A religious group recognized by the SGB.
Alpha Omicron Pi (AOII)	Alpha Omicron Pi is excited to be the newest sorority at Columbia University! Founded January 2 1897 at Barnard College AOII is more than 150000 members strong. Exceed the expectation!
Alpha Phi Alpha	Alpha Phi Alpha was founded on an ICE COLD Tuesday December 4 1906 on the campus of Cornell University by seven men in order to strengthen the bonds and increase retention among African Americans on the campus.
Alternative Break Program (ABP)	The ABP is a student-led and administrator-managed program that provides programmatic and financial support for studentsäó» independent development and leadership of domestic or international service experiences over fall spring or summer breaks.
America Reads	America Reads is committed to improving elementary school students' literacy skills.  CU students serve as tutors encouraging students and aiming to bring up their reading levels through engaging educational activities.
American Academy of Environmental Engineers and Scientists (AAEES)	The professional organization for students majoring in Earth and Environmental Engineering or Earth and Environmental Sciences.
American Institute of Aeronautics and Astronautics (AIAA)	We design construct and fly model airplanes to compete in the AIAA Build Design Fly competition. We are open to all experience levels and majors; our main goal is to have fun!
American Institute of Chemical Engineers (AIChE)	AIChE organizes events (networking research plant tours panels) in order to give students a better understanding as to what Chemical Engineering is after graduation.
